pollutant,spec_id,specification,eff_mon_,mon_reduction_,residual_health
nox,592277a8-c3df-4cc3-8d16-7bca2678fc5f,concurrent_policies,71.8083648858091,41.46164895637454,30.34671592943456
nox,b90f6e88-2e13-454a-82ca-2c439977dd5b,no_covs,62.402940925986215,44.070464962120475,18.33247596386574
nox,f2464877-feb8-4e18-95ce-3291a557619c,main,66.08075144807935,37.75980959480157,28.320941853277787
pm25,44803bdb-6216-41c4-99fe-c309343914dc,no_covs,84.01729343812165,11.736920583053964,72.2803728550677
pm25,6a5ebef8-be4b-443c-951a-4d90394139f4,main,51.186855354988815,9.075247979008575,42.11160737598024
pm25,de2d1445-d8f3-4a20-b626-076e0ab1301c,concurrent_policies,61.20574665501226,10.163119880058817,51.04262677495345
so2,05f6d70d-8231-42f9-9602-0210d02438b3,no_covs,235.84992456481564,113.70056307540737,122.14936148940826
so2,0e745c53-6893-48aa-bdfc-7af12ada3953,main,206.75386824503707,117.61837922975977,89.1354890152773
so2,ccfe30fc-f696-4f75-b226-fd62bfcd1375,concurrent_policies,204.70386007169253,116.2722172624647,88.43164280922784
