Name of the initiative,Type,Status,Type of juridiction covered,Jurisdiction covered,World Bank region,Year of implementation,Year of abolishment,GHG emissions covered [MtCO2e],Proportion of global GHG emissions covered,"Government income, previous year",Value [billion US$],Initiatives with overlapping GHG emissions covered,Covered GHG emissions overlapping with other initiatives [MtCO2e]
Netherlands carbon tax,Carbon tax,Implemented,National,Netherlands,Europe and Central Asia,2021,0,93.46796171,0.001853746,N/A,undefined,EU ETS,79.08827529
New Brunswick ETS,ETS,Implemented,Subnational,New Brunswick,North America,2021,0,6,0.000118998,0,undefined,N/A,
New Brunswick carbon tax,Carbon tax,Implemented,Subnational,New Brunswick,North America,2020,0,4.68,9.28E-05,0.118229513,undefined,N/A,
New York ETS,ETS,Under consideration,Subnational,New York,North America,TBC,0,N/A,N/A,N/A,undefined,N/A,
New Zealand ETS,ETS,Implemented,National,New Zealand,East Asia & Pacific ,2008,0,38.41895443,0.000761961,1.2742015,undefined,N/A,
New Zealand agriculture carbon tax,Carbon tax,Under consideration,National,New Zealand,East Asia & Pacific ,TBC,0,N/A,N/A,N/A,undefined,N/A,
Newfoundland and Labrador PSS,ETS,Implemented,Subnational,Newfoundland and Labrador,North America,2019,0,4.085,8.10E-05,0.000124023,undefined,N/A,
Newfoundland and Labrador carbon tax,Carbon tax,Implemented,Subnational,Newfoundland and Labrador,North America,2019,0,4.465,8.86E-05,0.080812274,undefined,N/A,
Nigeria ETS,ETS,Under consideration,National,Nigeria,Sub-Saharan Africa,TBC,0,N/A,N/A,N/A,undefined,N/A,
North Macedonia ETS,ETS,Under consideration,National,North Macedonia,Europe and Central Asia,TBC,0,N/A,N/A,N/A,undefined,N/A,
Northwest Territories carbon tax,Carbon tax,Implemented,Subnational,Northwest Territories,North America,2019,0,1.106,2.19E-05,0.032484482,undefined,N/A,
Norway carbon tax,Carbon tax,Implemented,National,Norway,Europe and Central Asia,1991,0,42.77346317,0.000848324,1.800385599,undefined,EU ETS,18.33148422
Nova Scotia CaT,ETS,Implemented,Subnational,Nova Scotia,North America,2019,0,13.05,0.00025882,0.038424592,undefined,N/A,
Ontario CaT,ETS,Abolished,Subnational,Ontario,North America,2017,2018,0,0,N/A,undefined,N/A,
Ontario EPS,ETS,Implemented,Subnational,Ontario,North America,2022,0,37.5,0.000743736,N/A,undefined,N/A,
Oregon ETS,ETS,Implemented,Subnational,Oregon,North America,2021,0,21.47721,0.000425956,N/A,undefined,N/A,
Pakistan ETS,ETS,Under consideration,National,Pakistan,South Asia,TBC,0,N/A,N/A,N/A,undefined,N/A,
Pennsylvania ETS,ETS,Under consideration,Subnational,Pennsylvania,North America,TBC,0,N/A,N/A,N/A,undefined,N/A,
Poland carbon tax,Carbon tax,Implemented,National,Poland,Europe and Central Asia,1990,0,15.32418035,0.000303924,0.00647562,undefined,N/A,
Portugal carbon tax,Carbon tax,Implemented,National,Portugal,Europe and Central Asia,2015,0,20.84217426,0.000413362,0.4874175,undefined,N/A,
Prince Edward Island carbon tax,Carbon tax,Implemented,Subnational,Prince Edward Island,North America,2019,0,0.896,1.78E-05,0.022221606,undefined,N/A,
Quebec CaT,ETS,Implemented,Subnational,Quebec,North America,2013,0,58.52,0.001160624,1.338,undefined,N/A,
Queretaro carbon tax,Carbon tax,Implemented,Subnational,Queretaro,Latin America and the Caribbean  ,2022,0,N/A,N/A,N/A,undefined,N/A,
RGGI,ETS,Implemented,Subnational,RGGI,North America,2009,0,83.35824,0.00165324,1.1936,undefined,Massachusetts ETS,9.1694064
Saitama ETS,ETS,Implemented,Subnational,Saitama,East Asia & Pacific ,2011,0,6.6368,0.000131627,N/A,undefined,Japan carbon tax,6.6368
Sakhalin ETS,ETS,Scheduled,Subnational,Sakhalin,Europe and Central Asia,2023,0,N/A,N/A,N/A,undefined,N/A,
Saskatchewan OBPS,ETS,Implemented,Subnational,Saskatchewan,North America,2019,0,8.58,0.000170167,0,undefined,N/A,
Senegal carbon tax,Carbon tax,Under consideration,National,Senegal,Sub-Saharan Africa,TBC,0,N/A,N/A,N/A,undefined,N/A,
Serbia ETS,ETS,Under consideration,National,Serbia,Europe and Central Asia,TBC,0,N/A,N/A,N/A,undefined,N/A,
Shanghai pilot ETS,ETS,Implemented,Subnational,Shanghai,East Asia & Pacific ,2013,0,107.28,0.002127679,0.020483366,undefined,China national ETS,
Shenzhen pilot ETS,ETS,Implemented,Subnational,Shenzhen,East Asia & Pacific ,2013,0,24.9,0.00049384,0.003677659,undefined,China national ETS,
Singapore carbon tax,Carbon tax,Implemented,National,Singapore,East Asia & Pacific ,2019,0,51.27363678,0.001016908,0.149143934,undefined,Not applicable,
Slovenia carbon tax,Carbon tax,Abolished,National,Slovenia,Europe and Central Asia,1996,2023,0,0,0.083755988,undefined,N/A,0
South Africa carbon tax,Carbon tax,Implemented,National,South Africa,Sub-Saharan Africa,2019,0,424.0937849,0.008411031,0.094813601,undefined,N/A,
Spain carbon tax,Carbon tax,Implemented,National,Spain,Europe and Central Asia,2014,0,5.22011491,0.00010353,N/A,undefined,N/A,
State of Mexico carbon tax,Carbon tax,Implemented,Subnational,State of Mexico,Latin America and the Caribbean  ,2022,0,N/A,N/A,N/A,undefined,N/A,
Sweden carbon tax,Carbon tax,Implemented,National,Sweden,Europe and Central Asia,1991,0,23.98974068,0.000475787,2.124803214,undefined,EU ETS,0
Switzerland ETS,ETS,Implemented,National,Switzerland,Europe and Central Asia,2008,0,4.58884494,9.10E-05,0.047302063,undefined,N/A,
Switzerland carbon tax,Carbon tax,Implemented,National,Switzerland,Europe and Central Asia,2008,0,14.2860267,0.000283334,1.628658636,undefined,N/A,
Taiwan Carbon Fee carbon tax,Carbon tax,Under consideration,Subnational,Taiwan,East Asia & Pacific ,TBC,0,N/A,N/A,N/A,undefined,N/A,
Taiwan ETS,ETS,Under consideration,Subnational,Taiwan,East Asia & Pacific ,TBC,0,N/A,N/A,N/A,undefined,N/A,
Tamaulipas carbon tax,Carbon tax,Abolished,Subnational,Tamaulipas,Latin America and the Caribbean  ,2023,N/A,N/A,N/A,0.002085747,undefined,N/A,
Thailand ETS,ETS,Under consideration,National,Thailand,East Asia & Pacific ,TBC,0,N/A,N/A,N/A,undefined,N/A,
Tianjin pilot ETS,ETS,Implemented,Subnational,Tianjin,East Asia & Pacific ,2013,0,75.25,0.00149243,0.012439653,undefined,China national ETS,
Tokyo CaT,ETS,Implemented,Subnational,Tokyo,East Asia & Pacific ,2010,0,12.4,0.000245929,N/A,undefined,Japan carbon tax,12.4
Turkey ETS,ETS,Under consideration,National,Turkey,Europe and Central Asia,TBC,0,N/A,N/A,N/A,undefined,N/A,
UK Carbon Price Support,Carbon tax,Implemented,National,United Kingdom,Europe and Central Asia,2013,0,97.22028288,0.001928165,0.873339035,undefined,UK ETS,97.22028288
UK ETS,ETS,Implemented,National,United Kingdom,Europe and Central Asia,2021,0,113.4236634,0.002249526,7.59162672,undefined,UK Carbon price support,97.22028288
Ukraine ETS,ETS,Under consideration,National,Ukraine,Europe and Central Asia,TBC,0,N/A,N/A,N/A,undefined,N/A,
Ukraine carbon tax,Carbon tax,Implemented,National,Ukraine,Europe and Central Asia,2011,0,179.0201875,0.003550499,N/A,undefined,N/A,
Uruguay CO2 tax,Carbon tax,Implemented,National,Uruguay,Latin America and the Caribbean  ,2022,0,4.425204416,8.78E-05,0.271217139,undefined,N/A,
Vietnam ETS,ETS,Scheduled,National,Vietnam,East Asia & Pacific ,TBC,0,N/A,N/A,N/A,undefined,N/A,
Washington CCA,ETS,Implemented,Subnational,Washington,North America,2023,0,56.7658,0.001125833,0,undefined,N/A,
Yucatan carbon tax,Carbon tax,Implemented,Subnational,Yucatan,Latin America and the Caribbean  ,2022,0,N/A,N/A,N/A,undefined,N/A,
Zacatecas carbon tax,Carbon tax,Implemented,Subnational,Zacatecas,Latin America and the Caribbean  ,2017,0,N/A,N/A,0.030723609,undefined,N/A,
