IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018
Non-Annex_I,India +,IND,India,2.C,Metal Industry,CO2,fossil,5174.300979,4850.466294,5179.751229,4931.462318,4278.733308,4301.694546,4294.755303,3857.497586,3670.056841,3876.127073,3171.57563,3335.775459,2776.281568,2320.972207,2753.939288,2839.844077,2590.763556,2701.29954,2863.263548,3268.321295,3322.949559,3794.806911,3968.717744,3805.723427,4155.859464,4572.209483,4466.908016,4566.118406,4462.689671,4560.55411,4760.834087,4533.18889,4766.759169,5435.14671,5571.273438,6711.600119,6938.990029,7670.920695,9448.49139,10252.11188,11212.28121,12117.50066,12590.89875,13126.19004,14505.64865,15353.34927,17067.87372,18346.95164,17903.8482
Non-Annex_I,India +,IND,India,2.D,Non-Energy Products from Fuels and Solvent Use,CO2,fossil,1466.405217,1494.036747,1683.000133,1711.72765,1653.603863,1662.647428,1698.872744,1744.865936,1822.975907,1876.34767,1901.421375,1949.610724,1985.031545,2026.537353,2091.490155,2158.106806,2237.957155,2305.246755,2425.34474,2549.866424,2708.466323,2725.873707,2560.491434,2498.026469,2558.730579,2588.123363,2619.235896,2984.333617,2890.311731,3058.842113,2966.12052,3023.592373,3057.325921,3246.52742,3381.380524,3926.330976,3873.140752,4384.198349,4208.664306,4539.488254,4341.046653,4642.708481,4972.831461,5163.319441,5081.707917,5340.019674,5340.902386,5670.438866,5658.824825
Non-Annex_I,India +,IND,India,3.C.2,Liming,CO2,fossil,661.5,830.8429998,877.844,821.55,1137.86,954.5450002,809.09,790.926,902.55,1064.51,805.7849998,782.038,815.474,838.464,997.278,1087.73,1162.24,1090.52,1412.44,1536.75,1528.12,1455.96,1545.72,1455.97,1332.43,1390.16,1490.68,1786.3,1795.85,2114.58,1940.5,1805.88,1727.11,1804.05,1861.79,1831.36,1966.82,1922.38,2030.53,2051.14,2050.1,2143.82,2218.61,2262.85,2263.56,2265.39,2308.448,2352.324398,2397.03475
Non-Annex_I,India +,IND,India,3.C.3,Urea application,CO2,fossil,1338.390245,1688.517219,1779.956859,1647.956843,1940.242505,2108.542474,2703.013794,3418.956521,3495.642222,4182.513524,4369.51349,4844.084835,5154.44192,5957.284632,6756.827344,7239.570111,8363.298479,7381.470085,9076.412634,8934.826948,9542.498265,10122.3553,10774.49804,11428.68364,12378.76918,12945.58336,13751.56893,14181.66885,14743.6116,14704.64018,13869.11176,14397.42596,13367.82614,14288.36883,14937.99728,16117.82564,17592.61109,18767.72516,19263.51078,19281.11078,20321.39631,21371.42469,21687.28177,22119.73884,22126.65312,22144.5674,21406.46753,21609.33893,22710.75301
Non-Annex_I,India +,IND,India,5.B,Fossil fuel fires,CO2,fossil,12430.44,12543.96,12657.48,12771,12884.52,12998.04,13111.56,13225.08,13338.6,13452.12,13565.64,13679.16,13792.68,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190,14190
Annex_I,OECD_Europe,IRL,Ireland,1.A.1.a,Main Activity Electricity and Heat Production,CO2,bio,,,,,,,,,,,,,,,,,,,,,,,,,,,15.99783276,49.959,47.99350374,52.57989282,53.94486006,54.8729727,44.28059454,42.31487442,61.30530528,72.7625579,76.38768668,104.3626,126.7484016,164.7171684,216.3902724,237.5638403,380.5241808,418.0957088,450.7420893,393.8843865,582.0275549,684.0410829,826.9919476
Annex_I,OECD_Europe,IRL,Ireland,1.A.2,Manufacturing Industries and Construction,CO2,bio,,,,,,,,,,,,,,,,,,,,,259.6869981,260.9975564,243.1881755,245.0992683,253.8786055,254.6976764,291.6445501,293.1095773,376.1647345,376.0554636,411.8281499,466.2280799,466.2280799,444.1008053,529.7749336,676.6721098,683.5108162,636.131415,580.2311198,578.4384332,629.7964499,586.4031825,557.647518,584.6195588,711.1882006,741.2097823,724.5866858,798.6450992,820.1036934
Annex_I,OECD_Europe,IRL,Ireland,1.A.3.b_noRES,Road Transportation no resuspension,CO2,bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22481256,7.92612372,63.99588636,165.8123822,229.5832804,274.6123848,169.5114769,176.5231266,213.5179108,261.2459608,255.8486502,318.4640756,476.4001379,457.4167576
Annex_I,OECD_Europe,IRL,Ireland,1.A.4,Residential and other sectors,CO2,bio,,,,,,,,,,,,,,,,,,,,,187.10014,166.93107,135.29979,139.00009,131.96459,124.34796,112.43358,101.50227,104.92539,74.78881,71.97067,68.77573,68.17199,237.0908745,235.7111217,284.0013617,323.1417832,370.3537499,349.2924785,369.2708218,343.5771459,309.5389207,268.5030302,298.6823802,381.6620025,342.5229386,343.2629825,321.3119385,329.7857124
Annex_I,OECD_Europe,IRL,Ireland,1.B.2,Oil and Natural Gas,CO2,bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46224744,8.43597576,64.45326852,112.3630267,171.1240319,187.9417294,71.05851204,70.98440568,64.69337256,71.6205366,72.03760524,72.3672288,75.53661204,80.3315916
Annex_I,OECD_Europe,IRL,Ireland,3.C.1,Emissions from biomass burning,CO2,bio,116.1985454,129.2575968,114.3493712,107.5788169,111.1336205,110.2666044,105.1538305,138.6121791,134.9254891,141.7398362,150.3751133,150.29997,164.6355589,152.8215981,190.1255272,159.7147588,147.6457769,157.1956378,154.530968,146.9458496,154.1670047,156.6277217,161.7058179,131.5628929,134.1631551,87.61636775,103.2259633,96.77873821,93.39028966,95.99545826,103.6414357,102.5538808,97.58043465,103.1625298,121.8608659,95.87328688,92.93403672,87.75337975,109.6540639,89.94898008,88.32146196,109.5185504,92.55649304,97.61704098,107.6093676,109.8561485,98.35415201,102.3494422,75.01227412
Annex_I,OECD_Europe,IRL,Ireland,4.C,Incineration and Open Burning of Waste,CO2,bio,5.20558445,5.3189785,5.4458404,5.5837298,5.7286405,5.8772109,6.01374675,6.15175715,6.28801195,6.41876345,6.54101195,6.63575825,6.72050885,6.7940422,6.8552748,6.9040609,6.9325223,6.94940565,6.96032535,6.9728439,6.99277095,7.2234041,7.52169495,7.796294,8.0305775,8.31944135,8.23666525,8.45859025,6.70003565,9.8630642,10.9119747,14.1279787,31.044882,40.6344796,24.56061795,15.63445785,16.09877115,0.6481409,0.59659215,0.63620975,1.18330465,4.0507511,1.01189605,0.6930781,0.38004505,0.40320005,0.43197165,0.45292445,0.4921268
