TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cyprus,"54,410.85","55,526.15","64,949.85","69,672.79","79,606.44","68,755.57","76,856.49","75,065.11","80,311.42","80,574.66","86,408.11","85,372.49","86,588.89","94,432.86","88,274.33","89,985.72","93,586.80","98,380.08","104,174.99","102,153.90","98,094.12","95,062.56","89,012.82","75,990.21","77,755.40","78,819.93","84,178.93","86,106.66","85,138.49","84,608.83","77,913.23","78,452.15","80,508.59"
Latvia,"143,922.62","124,690.83","105,146.15","97,810.55","94,664.00","78,716.78","81,959.11","71,269.30","70,750.57","60,701.98","53,142.52","52,709.25","51,508.76","56,454.90","58,490.00","59,680.66","65,137.37","69,905.25","65,219.09","57,940.59","58,754.71","53,686.54","52,908.48","53,793.04","55,421.69","57,714.16","57,169.73","59,511.97","60,167.40","58,110.68","57,261.15","59,322.09","58,616.29"
Lithuania,"281,048.09","315,545.49","167,837.41","155,258.16","142,621.40","124,584.68","131,384.86","133,843.70","152,754.79","120,389.37","89,523.06","106,326.48","102,123.64","96,536.79","104,579.73","110,668.73","110,489.31","109,955.43","120,606.35","102,942.09","104,796.86","100,847.58","103,109.31","101,537.94","102,177.34","105,443.71","114,595.26","116,915.53","123,925.08","120,895.13","118,456.99","119,124.64","119,469.38"
Luxembourg,"61,643.32","72,408.19","74,894.50","74,823.66","73,528.00","67,618.10","69,202.90","70,728.35","72,858.74","76,596.10","83,746.42","88,596.08","89,289.39","96,777.46","110,058.96","114,231.34","107,920.34","103,410.35","104,236.38","97,213.91","102,212.40","105,959.82","102,936.08","100,914.65","95,392.10","91,224.99","88,977.68","91,361.29","96,380.78","98,346.37","77,360.03","81,541.47","70,907.93"
Hungary,"360,353.50","327,868.00","306,695.51","328,717.11","294,718.00","306,489.72","283,855.36","295,294.32","296,042.33","284,294.44","277,512.34","268,027.73","261,698.07","255,193.61","263,487.20","300,679.30","313,580.50","309,649.60","294,894.64","290,141.11","275,023.53","261,451.57","247,446.31","238,727.62","268,408.17","287,061.15","284,016.60","306,780.03","326,050.10","330,721.45","308,020.97","333,745.32","326,897.54"
Malta,"21,570.00","22,086.30","22,759.60","28,131.30","27,282.90","28,636.80","29,510.50","33,142.70","29,199.60","31,843.90","28,568.10","33,264.90","31,003.40","34,905.90","35,048.50","35,453.40","35,463.60","36,191.80","36,793.80","33,624.00","34,818.00","34,478.00","36,411.00","31,998.00","31,890.00","22,193.00","18,358.00","13,844.44","12,486.66","13,674.04","12,163.05","12,613.37","14,630.77"
Netherlands,"1,049,764.49","1,037,075.04","1,048,444.31","1,060,496.90","1,084,393.35","1,111,079.66","1,120,528.70","1,140,873.90","1,149,916.48","1,160,489.03","1,156,519.72","1,185,503.90","1,214,577.01","1,312,368.35","1,306,526.06","1,299,726.96","1,313,644.12","1,315,840.66","1,239,896.03","1,199,101.72","1,253,573.82","1,193,701.90","1,205,748.17","1,154,603.77","1,118,816.70","898,550.47","1,060,950.67","1,028,576.90","892,810.69","1,101,528.33","1,070,724.24","1,088,868.36","1,044,106.99"
Austria,"440,180.26","471,310.87","459,581.17","468,472.42","460,731.19","461,658.14","503,035.15","499,625.49","527,463.04","501,809.06","492,720.23","527,281.14","537,646.39","573,494.76","570,992.33","577,538.15","573,875.18","547,863.65","531,605.34","502,818.04","517,144.93","482,601.62","472,647.18","485,443.10","470,704.24","473,652.80","481,470.02","483,582.55","487,749.68","498,904.73","455,207.21","475,984.25","450,075.29"
Poland,"546,236.08","547,416.11","566,880.22","586,443.53","614,628.98","656,339.16","740,112.32","761,102.05","779,631.80","806,440.43","809,672.53","834,225.22","832,404.11","836,873.82","896,378.38","906,855.42","972,779.06","996,514.50","1,030,761.22","1,008,226.19","1,065,364.95","1,074,780.21","1,022,844.14","933,182.28","924,892.21","980,718.79","1,083,721.35","1,219,151.03","1,247,182.62","1,265,435.99","1,213,300.82","1,285,813.98","1,337,341.06"
Portugal,"449,140.82","451,199.56","507,931.89","478,699.83","476,793.84","552,076.69","531,285.24","564,001.32","639,148.95","649,067.53","625,541.83","642,311.60","668,594.63","617,107.86","623,600.75","644,046.50","567,156.83","561,093.23","535,023.00","500,137.93","482,087.04","444,683.89","392,934.12","391,309.01","386,755.32","389,928.88","385,707.17","389,623.63","371,657.31","392,085.71","352,753.98","354,939.73","372,079.67"
Romania,"795,686.00","632,783.80","490,811.89","534,644.05","491,768.55","560,116.27","560,379.02","542,090.10","502,154.64","419,024.42","418,420.10","466,270.67","451,304.26","440,825.17","420,116.20","404,913.00","431,732.78","425,374.98","410,787.65","354,295.68","354,853.41","355,419.66","345,865.65","326,839.66","325,439.51","352,078.17","357,619.24","389,254.80","401,248.25","407,681.94","401,693.19","436,675.61","436,693.27"
Slovenia,"72,960.30","72,038.90","67,800.20","81,566.30","87,715.20","96,863.70","112,903.10","112,872.90","105,189.50","110,184.50","100,002.90","103,854.70","100,744.00","102,376.00","105,861.70","107,073.40","110,040.10","107,569.54","124,820.31","106,818.41","107,804.41","107,055.31","103,904.06","97,419.23","96,347.36","94,741.08","99,687.93","100,699.89","101,254.10","98,064.81","83,707.16","91,334.21","98,660.33"
Slovakia,"187,387.11","165,432.07","146,411.05","121,288.70","130,329.43","140,540.21","138,122.60","145,595.83","142,925.72","130,027.11","118,215.66","117,766.48","136,313.29","126,338.24","127,652.05","135,073.21","133,022.93","141,035.29","148,162.08","136,985.18","145,023.28","141,931.43","133,342.96","127,837.03","117,446.87","128,168.57","137,183.48","152,812.70","156,518.75","148,733.39","149,447.35","155,514.29","158,913.35"
Finland,"395,169.97","414,961.07","363,176.34","378,989.94","396,908.48","343,569.84","384,252.34","400,372.09","415,366.22","404,592.14","382,499.85","372,667.05","414,369.82","426,848.18","444,565.88","423,406.71","437,854.78","416,254.89","407,112.79","387,343.01","397,932.56","388,938.80","363,668.26","323,297.19","368,825.77","326,208.05","359,145.10","340,972.54","338,385.22","322,190.43","316,611.47","293,137.79","304,419.60"
Sweden,"598,102.65","592,650.64","590,831.68","583,808.99","626,153.52","636,671.18","641,902.49","615,047.75","620,136.70","605,199.18","565,954.82","575,926.83","668,143.84","636,718.07","619,556.94","594,338.21","560,650.93","538,433.80","562,655.32","492,726.68","580,015.01","572,790.80","524,195.12","495,721.69","483,648.64","366,455.77","423,235.85","409,445.14","447,424.24","404,819.03","341,561.47","376,133.72","361,876.53"
Iceland,"26,374.90","23,150.20","25,284.30","27,202.10","26,852.70","26,717.70","29,849.00","29,121.40","29,535.10","30,095.40","29,458.60","29,377.00","30,722.90","30,683.60","31,565.90","31,511.90","34,329.20","32,888.50","38,355.80","37,957.60","22,490.90","21,212.40","20,713.40","21,701.80","23,393.10","23,610.60","24,416.06","22,818.21","24,026.67","23,666.33","21,750.79","23,505.17",
Norway,"315,553.24","337,154.03","294,828.33","313,126.13","275,959.97","293,939.63","301,444.12","308,087.79","312,348.12","331,133.86","337,074.93","328,763.37","338,964.81","413,979.38","497,162.24","511,378.38","538,426.12","408,395.67","491,155.79","516,323.68","504,483.35","404,883.38","439,198.14","496,328.67","399,756.65","241,970.68","366,989.69","435,462.25","406,364.69","368,558.25","373,111.07","359,849.27","290,669.20"
United Kingdom,"3,186,935.04","3,240,029.97","3,306,282.56","3,261,431.48","3,541,591.50","3,234,379.63","3,226,426.46","3,082,122.59","3,083,182.30","3,120,574.78","3,058,186.15","2,974,738.17","2,946,077.62","2,995,233.28","2,998,762.80","3,056,824.77","3,007,456.34","2,857,287.95","2,785,115.39","2,630,895.25","2,653,010.34","2,515,382.48","2,482,145.36","2,378,274.62","2,432,572.77","2,510,505.35","2,554,321.29","2,573,929.01","2,533,925.80","2,480,614.90",,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,"61,727.78","63,908.40","72,439.19","72,085.70","70,483.08","69,102.87","64,480.64","71,425.03",
Montenegro,,,,,,,,,,,,,,,,"11,845.58","15,071.18","16,559.70","16,915.29","13,726.66","12,959.88","12,030.00","11,265.70","10,896.08","10,894.90","11,676.54","12,978.81","14,463.83","15,318.40","16,086.16","13,712.06","16,797.00",
Moldova,,,,,,,,,,,,,,,,,,,,,"31,832.75","33,145.77","31,128.07","32,005.89","32,673.79","33,676.88","36,068.31","37,139.74","39,804.14","40,557.87","39,153.56","42,907.56",
North Macedonia,"45,423.50","42,153.40","45,321.10","47,053.74","34,757.37","33,427.29","50,534.90","42,926.20","39,276.34","38,092.38","39,278.90","32,256.70","36,542.70","36,029.80","36,996.70","37,951.71","40,294.37","43,365.83","39,296.61","40,646.80","39,261.75","40,785.51","38,825.54","37,777.18","37,358.77","40,018.30","44,883.85","42,536.56","40,705.77","44,237.31","41,212.71","44,847.44",
Albania,"50,852.24","34,037.52","24,324.58","24,915.33","29,058.29","25,854.40","25,123.57","20,030.86","24,314.53","42,533.85","43,530.05","46,099.86","53,264.98","53,042.45","59,470.89","60,468.23","57,048.85","54,667.45","55,785.24","52,744.18","51,560.64","51,007.47","44,769.95","52,362.51","55,872.12","50,264.80","51,576.56","54,850.13","48,024.46","50,471.00","43,819.77","42,405.03",
Serbia,"215,440.30","157,544.50","104,331.26","77,497.96","72,444.81","77,667.15","137,542.34","163,566.28","135,948.24","64,802.67","60,990.47","111,212.99","130,031.92","146,032.20","176,804.00","183,419.33","193,993.60","179,564.10","177,426.02","164,437.82","164,106.46","161,043.09","141,952.87","142,682.00","137,170.59","142,377.00","153,534.42","153,637.35","153,909.92","156,224.48","147,961.73","164,017.34",
Türkiye,"980,136.71","893,024.84","946,543.92","1,093,021.40","1,063,306.64","1,191,307.71","1,250,899.06","1,238,888.27","1,215,965.67","1,210,120.30","1,277,751.99","1,186,166.84","1,240,971.00","1,207,940.72","1,217,703.35","1,204,784.61","1,269,756.43","1,283,124.42","1,234,417.79","1,218,250.87","1,259,169.78","1,275,005.30","1,359,779.55","1,337,894.90","1,381,052.63","1,619,232.00","1,772,916.25","1,871,278.78","1,775,026.37","1,782,514.22","1,751,278.35","1,821,914.59",
Ukraine,"2,447,896.38","2,753,042.33","1,720,355.78","1,206,283.31","984,830.47","1,046,168.83","651,099.01","751,258.07","698,630.15","528,063.36","499,956.86","561,657.40","636,707.09","694,652.73","731,541.39","602,225.39","605,292.36","637,116.48","601,539.52","582,043.28","551,762.34","521,097.60","486,169.51","414,318.78","445,510.53","439,801.01","466,827.88","529,302.66","555,688.17","564,186.35","592,118.85",,
Kosovo*,,,,,,,,,,,"13,826.31","17,479.80","17,436.80","18,152.27","18,568.25","19,197.72","20,252.46","21,477.69","22,927.08","23,824.14","22,577.87","25,878.81","23,768.45","21,326.75","23,156.96","28,285.95","27,961.38","30,420.57","30,609.32","31,710.92","31,116.28","35,626.74",
Georgia,,,,,,,,,,,,,,,,,,,,,,,,"41,194.10","43,776.61","50,107.00","59,963.85","54,185.39","53,178.38","57,841.99","55,018.85","57,634.74",
