TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Latvia,"26,415.52","22,731.18","19,000.83","17,258.50","12,359.20","7,382.88","7,012.90","5,894.60","4,445.23","3,902.40","3,050.69","3,904.49","3,170.82","2,808.96","2,757.09","3,333.93","3,569.34","4,354.80","4,381.59","3,542.55","4,459.11","4,590.21","3,808.96","2,968.21","2,464.52","1,936.71","1,687.83","1,690.86","1,893.83","1,644.62",961.525,718.69,470.069
Lithuania,"32,731.36","36,599.84","16,528.96","14,795.68","12,107.84","9,344.64","8,666.36","6,840.92","5,926.13","4,810.38","3,373.77","3,028.52","5,190.98","6,681.59","6,471.13","7,024.40","9,755.24","9,310.81","7,931.80","6,060.83","7,620.01","8,809.44","8,380.62","9,506.83","8,203.35","6,711.14","6,671.03","6,833.24","7,239.49","7,091.06","5,635.07","6,703.58","6,610.50"
Luxembourg,"46,490.30","43,754.80","40,926.30","42,169.00","36,374.30","20,476.30","19,170.50","12,134.60","3,975.20","4,021.80","4,594.49","4,943.88","3,083.64","2,369.13","3,328.51","3,248.89","3,876.81","3,280.37","3,136.57","2,801.31","2,745.52","2,475.57","2,295.38","2,200.68","2,180.81","2,060.52","2,132.33","1,972.64","1,748.41","1,915.77","1,609.51","1,650.72","1,719.62"
Hungary,"259,699.09","252,063.20","219,292.34","204,976.83","200,001.01","194,378.93","199,106.03","192,026.47","178,974.27","174,047.73","161,152.26","151,581.48","151,674.19","156,951.64","145,150.79","128,540.55","128,782.63","130,985.60","127,194.48","107,169.20","113,182.39","113,396.41","109,035.88","94,872.35","92,477.50","98,782.78","91,657.76","93,576.24","89,322.05","76,589.21","70,464.03","57,438.71","51,890.26"
Malta,"7,500.00","6,075.00","5,125.00","7,500.00","5,100.00","1,300.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,"366,895.30","335,651.30","335,335.80","336,572.50","367,139.40","373,910.96","361,389.45","351,856.71","358,150.58","312,540.45","325,357.62","346,410.20","348,181.36","359,504.84","354,877.93","338,880.46","330,066.85","352,101.05","333,849.59","312,413.58","315,735.66","311,470.99","341,287.21","340,142.92","377,096.36","464,266.04","430,231.39","385,719.78","345,922.09","268,942.01","172,027.06","234,334.70","231,342.19"
Austria,"171,494.29","179,661.82","139,643.72","125,652.86","127,994.24","145,582.42","145,753.74","154,445.14","136,063.74","133,207.04","150,723.78","155,969.09","159,372.15","169,514.31","166,707.26","169,831.10","167,496.89","162,043.17","160,454.36","120,111.00","141,661.74","145,803.56","135,864.41","138,868.92","127,677.47","135,032.70","126,175.38","130,158.32","114,699.45","120,792.15","103,476.98","106,996.56","101,585.00"
Poland,"3,301,900.18","3,251,957.80","3,155,250.03","3,113,063.81","2,882,737.51","2,944,275.30","3,023,301.03","2,947,724.40","2,655,501.77","2,549,164.35","2,356,420.60","2,331,712.95","2,298,612.91","2,352,692.33","2,270,705.73","2,288,360.75","2,395,997.55","2,335,558.13","2,293,814.03","2,142,494.83","2,312,043.83","2,287,622.46","2,104,359.13","2,226,981.56","2,062,955.54","2,025,354.63","2,074,008.62","2,079,660.21","2,062,002.31","1,835,531.01","1,713,016.94","1,922,326.71","1,764,552.50"
Portugal,"115,434.08","121,657.03","123,612.13","132,340.74","139,306.68","150,785.00","143,553.79","147,746.82","130,078.90","158,624.77","159,318.38","133,644.65","145,508.33","137,349.24","141,221.83","140,218.78","138,544.87","120,874.55","105,748.39","119,790.86","69,401.40","92,460.65","122,855.40","110,956.94","112,222.77","136,417.79","119,175.06","135,114.25","112,884.73","52,257.35","23,686.18","8,189.29",284.547
Romania,"531,862.59","428,282.35","448,587.37","424,261.54","435,522.47","451,928.33","449,914.72","406,357.08","337,879.01","286,770.76","312,641.33","318,887.69","367,215.99","392,227.05","387,022.26","366,499.89","396,890.69","422,515.47","400,149.47","314,826.72","290,928.53","338,822.80","316,522.72","238,995.42","239,800.32","246,695.96","220,976.48","225,612.67","211,305.84","204,878.27","145,781.23","169,338.44","147,098.79"
