country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Poland,3368,3494,3681,3637,3837,3919,4043,3987,4551,4479,4342,4678,4394,3872,4815.803,5424.482,5268.952,6016.622,7202.615,9277.98,11456.968,13567.236,17307.255,17624.294,20393.109,23287.061,23289.604,24596.451,22034.596,26165.298,29045.213,31330.046
Portugal,9998,9991,5966,9654,11686.999,9501,15888,14302.001,14224,8995,13260,16082,10190,18034,12592.488,8645.53,16187.668,16574.617,15140.065,19015.958,28750.583,24689.717,20410.26,30609.835,32403.914,25510.816,33496.09,24307.885,30636.973,28830.307,31649.727,33088.512
Romania,11411,14588,11702,12769,13046,16693,15755,17520,18890,18290,14778,14923,16049,13262,16517.053,20213.08,18360.352,16004.483,17224.617,15826.149,20659.856,16530.975,15196.856,20498.837,27600.32,26574.629,27476.745,24640.789,26627.682,25060.269,24926.76,26676.707
Slovenia,2950,3608,3423,3035,3399,3252,3673,3092,3449,3772,3904.451,3867.662,3414.062,3079.574,4214.904,3574.723,3701.315,3379.562,4306.915,4906.835,4932.693,4023.428,4516.962,5403.461,6885.474,4638.111,5337.291,4720.422,5421.439,5242.764,5873.234,5733.256
Slovakia,2515,1894,2332,3865,4609,5226,4533,4358,4567,4776,4975,5271.4,5635,3773,4233,4779,4970.314,5097,4765.332,5146.561,6333.942,5367.187,5810,6671,6482,6311,6876,6831,6095,6859,7139,7072
Finland,16015.455,18196.52,20059.594,19438.672,18259.751,19544.837,17760.982,20151.208,24408.292,21193.417,23378.601,21548.567,19830.679,19065.383,25631.877,23468.789,22466.651,24324.302,27781.234,21700.953,24195.264,24176.565,28559.186,25629.667,26270.619,30526.724,30411.957,31476.711,32140.222,31884.461,35927.34,38174.507
Sweden,74982,65535,76902.405,77435.506,61754.658,70613.81,54037.911,72076.063,78138.215,74769.316,83175.418,83342.519,71179.671,58788.821,68241.677,81301.066,71201.003,77526.895,81550.683,79935.094,82187.621,84210.489,98435,82822.863,85849.426,102623.747,89245.638,95083,91193,98955,112194,115778
Iceland,4504,4487,4540,4722,4775,4972,5118,5582,6276,7183,7679,8029,8410,8494,8619.983,8681.498,9926.264,11973.026,16465.554,16832.959,17057.403,17208.303,17546.072,18110.614,18119.816,18794.666,18546.086,19236.448,19827.885,19486.173,19124.235,19611.734
Norway,121595,110789,117289,119872,112955,122786,104460,111190,116561,122180,142576,121308,130162,106632.4,109902,137284,120753,136014,141291,127281,118380,123175,144684,130976,138655.1,141218,145766,146225,143797.549,131820.126,152759.052,156506.661
United Kingdom,7793,6846,8102,7155,8418,8423,7241,8432,10273,12518,12664,11970.726,13777.475,13353.413,16786.813,19866.687,21959.382,23549.866,25935.925,28930.112,29331.819,38118.863,44215.939,56118.139,67406.915,85315.724,85940.46,101731.013,112526.837,122251.922,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,5935,5551,5664.607,4014,6651,6464,4983,7292
Montenegro,,,,,,,,,,,,,,,,1866,1750,1284,1539,2071,2750,1203.853,1477.087,2504.168,1751.65,1491,1843.191,1120.9,2256,1928.9,1765.5,2332.7
Moldova,,,,,,,,,,,,,,,,,,,,,79,76,33.892,48,74.481,67.91,57.818,80,100,142,131,188
North Macedonia,491,848,848,522,695,801,850,900,1083,1389,1170,626,757,1374,1481.99,1491.78,1649.589,1010.031,840.092,1270.349,2431.497,1434.293,1043.603,1593.017,1291.667,2028.559,2066.558,1296.061,1965.543,1343.807,1475.487,1634.07
Albania,2848,3518,3226,3314,3771,4204,5726,5028,4921,5284,4594,3555,3512,4885,5466,5373,5431,2788,3797,5201,7567,4132,4725,6959,4724.441,5895,7781.702,4526.179,8553.486,5206.043,5313.166,8962.71
Serbia,8281.9,10243.7,9837.026,8835.603,9548.668,10660.139,12228.646,11198.584,11119.793,11925.481,10337.242,10622.165,10446.686,9118.059,11121,12032,10965,10037,10109,11144,12571,9243,9920,10873.001,11645.001,10817.001,11592.001,9888.754,11658.343,11248.12,10929.983,13329.555
Türkiye,23228,22802,26685,34085,30716,35849,40735,40193,42560,34912,31154,24346,33966,35559,46311,39747.6,44522.645,36456.836,34421.57,38141.126,55712.921,58099.666,65217.017,69220.117,52628.687,83658.204,90244.362,87235.434,97767.91,132260.768,128345.063,118552.295
Ukraine,10723,11926,8090,11237,12327,10150,8833,10032,15918,14503,11456,12217,9811,9421,11921,12541.9,13068.2,10584.3,11821.2,12117.7,13391,11199.5,11749.2,15781.8,11010.6,8676.4,10884.1,12451.2,14594.6,13215,17559.2,
Kosovo (under United Nations Security Council Resolution 1244/99),,,,,,,,,,,52,52,52,52,113,112,101,94,76,120,157,104.906,95.579,143.303,151.369,140.286,245.507,180.209,304.436,314.119,363.586,439.313
Georgia,,,,,,,,,,,,,,,,,,,,,,,,8271.206,8335.337,8453.764,9338.241,9298.2,10033.7,9016.394,8339,10265.5
