time,type,outcome,att,att_low,att_high,pollutant
1990,treated,11.626670379791934,3.4173707493684757,-3.521714034556489,10.85554086795355,nox
1990,counterfactual,11.593067622173521,3.4173707493684757,-3.521714034556489,10.85554086795355,nox
1991,treated,11.600095725281246,-0.23893613153266324,-4.6136269115169775,4.336390429023029,nox
1991,counterfactual,11.602487945675476,-0.23893613153266324,-4.6136269115169775,4.336390429023029,nox
1992,treated,11.523022935681063,-1.5443431639281857,-5.838604418231319,2.9457592799226884,nox
1992,counterfactual,11.538586859259894,-1.5443431639281857,-5.838604418231319,2.9457592799226884,nox
1993,treated,11.485869854108584,-0.6984310225257362,-4.446739519530829,3.1969139703359684,nox
1993,counterfactual,11.492878668792988,-0.6984310225257362,-4.446739519530829,3.1969139703359684,nox
1994,treated,11.459498838577,3.187859973283391,-1.5286670908997158,8.13029671990886,nox
1994,counterfactual,11.42811781435507,3.187859973283391,-1.5286670908997158,8.13029671990886,nox
1995,treated,11.100554971489236,-1.5806884469644067,-6.12747286208466,3.1863227922106274,nox
1995,counterfactual,11.116488117054455,-1.5806884469644067,-6.12747286208466,3.1863227922106274,nox
1996,treated,11.094750473888327,-0.7242063618116856,-4.819320348372869,3.547098408680749,nox
1996,counterfactual,11.102018888550205,-0.7242063618116856,-4.819320348372869,3.547098408680749,nox
1997,treated,11.052636303866866,-0.6813528613776154,-5.059972792326217,3.8992083693955903,nox
1997,counterfactual,11.059473150545957,-0.6813528613776154,-5.059972792326217,3.8992083693955903,nox
1998,treated,10.997520016253356,-1.4584208113421315,-5.612501232673761,2.8784845007033377,nox
1998,counterfactual,11.012211619389848,-1.4584208113421315,-5.612501232673761,2.8784845007033377,nox
1999,treated,10.96505483691784,0.5385900078314076,-2.380715774880493,3.545197662510735,nox
1999,counterfactual,10.959683388930896,0.5385900078314076,-2.380715774880493,3.545197662510735,nox
2000,treated,10.942571995465409,2.9791535712454964,-0.5240076163193441,6.605682598748297,nox
2000,counterfactual,10.913215606220174,2.9791535712454964,-0.5240076163193441,6.605682598748297,nox
2001,treated,10.951997275701785,-2.0801703459247256,-5.968055949839613,1.968465464973712,nox
2001,counterfactual,10.973018382571214,-2.0801703459247256,-5.968055949839613,1.968465464973712,nox
2002,treated,10.945633390551961,-3.2971618644373146,-11.06816797340333,5.1528872212609045,nox
2002,counterfactual,10.979160824609098,-3.2971618644373146,-11.06816797340333,5.1528872212609045,nox
2003,treated,10.961306594501288,-0.903953194198559,-12.724028674794074,12.516954477039377,nox
2003,counterfactual,10.970387230909735,-0.903953194198559,-12.724028674794074,12.516954477039377,nox
2004,treated,10.944564207716423,-6.55812345591208,-25.85512954267125,17.761137597584487,nox
2004,counterfactual,11.012394791948601,-6.55812345591208,-25.85512954267125,17.761137597584487,nox
2005,treated,10.94651406760211,4.163936943062252,-9.224662715835741,19.527242575952975,nox
2005,counterfactual,10.905718278771822,4.163936943062252,-9.224662715835741,19.527242575952975,nox
2006,treated,10.935241570072915,4.458546061238966,-6.470059248811233,16.664115871251607,nox
2006,counterfactual,10.891621451766998,4.458546061238966,-6.470059248811233,16.664115871251607,nox
2007,treated,10.90334295817276,2.624502229328063,-8.618277672531882,15.250491997475123,nox
2007,counterfactual,10.877436426784156,2.624502229328063,-8.618277672531882,15.250491997475123,nox
2008,treated,10.804075164476656,-6.370807093245967,-17.73247617242417,6.5599808588341135,nox
2008,counterfactual,10.869903125579361,-6.370807093245967,-17.73247617242417,6.5599808588341135,nox
2009,treated,10.672464253871128,-13.18268712608962,-27.08260551963162,3.3669108497246913,nox
2009,counterfactual,10.813828381009133,-13.18268712608962,-27.08260551963162,3.3669108497246913,nox
2010,treated,10.693519313353223,-12.182707122469294,-26.59374467344081,5.057489910505808,nox
2010,counterfactual,10.82343106049099,-12.182707122469294,-26.59374467344081,5.057489910505808,nox
2011,treated,10.641586040122862,-10.296327945389038,-24.22511787993502,6.19282478501455,nox
2011,counterfactual,10.750244520820434,-10.296327945389038,-24.22511787993502,6.19282478501455,nox
2012,treated,10.62283672392854,-14.869835447211466,-33.95492581505203,9.730286568994684,nox
2012,counterfactual,10.783825477063665,-14.869835447211466,-33.95492581505203,9.730286568994684,nox
2013,treated,10.517373588911418,-19.600606067835493,-39.9112824144631,7.575312045189064,nox
2013,counterfactual,10.73553713690016,-19.600606067835493,-39.9112824144631,7.575312045189064,nox
2014,treated,10.46462117517343,-19.585953276457868,-39.487939312880904,6.861654305428289,nox
2014,counterfactual,10.682602489744884,-19.585953276457868,-39.487939312880904,6.861654305428289,nox
2015,treated,10.401169639771263,-22.87548214113514,-42.8157063806603,4.01791958046831,nox
2015,counterfactual,10.660918594978108,-22.87548214113514,-42.8157063806603,4.01791958046831,nox
2016,treated,10.323236860260383,-25.747375673384767,-49.19071852300678,8.512698056672608,nox
2016,counterfactual,10.620933924724067,-25.747375673384767,-49.19071852300678,8.512698056672608,nox
2017,treated,10.264774081133545,-28.418437896880654,-52.465570833605526,7.793869054079261,nox
2017,counterfactual,10.599106738843348,-28.418437896880654,-52.465570833605526,7.793869054079261,nox
2018,treated,10.21419772363919,-24.10488022803703,-47.84802999215189,10.44777799062624,nox
2018,counterfactual,10.490015525422516,-24.10488022803703,-47.84802999215189,10.44777799062624,nox
2019,treated,10.145359188058277,-27.409364410568017,-51.12384302208748,7.8112662920488685,nox
2019,counterfactual,10.465693446906537,-27.409364410568017,-51.12384302208748,7.8112662920488685,nox
2020,treated,10.00260495065002,-22.788947279229877,-53.224386694800884,27.449887687243148,nox
