time,type,outcome,att,att_low,att_high,pollutant
1990,treated,11.563498036229849,-0.8489821745318094,-10.805853959814737,10.219389637937848,so2
1990,counterfactual,11.572024101793295,-0.8489821745318094,-10.805853959814737,10.219389637937848,so2
1991,treated,11.624265262419886,0.8663117326527248,-5.729069031986156,7.923118378885263,so2
1991,counterfactual,11.615639454571518,0.8663117326527248,-5.729069031986156,7.923118378885263,so2
1992,treated,11.503313131382498,0.982529432488044,-6.024741982849713,8.512298510766492,so2
1992,counterfactual,11.49353579140735,0.982529432488044,-6.024741982849713,8.512298510766492,so2
1993,treated,11.43634792710191,-4.0108450292454245,-8.958028236943417,1.205166074164521,so2
1993,counterfactual,11.477282897058288,-4.0108450292454245,-8.958028236943417,1.205166074164521,so2
1994,treated,11.366364258920093,-0.6854036995213031,-6.589842405319191,5.592253479815579,so2
1994,counterfactual,11.37324189271089,-0.6854036995213031,-6.589842405319191,5.592253479815579,so2
1995,treated,11.246670783014961,3.055802082089265,-3.424239481052227,9.970641553467807,so2
1995,counterfactual,11.216570359689326,3.055802082089265,-3.424239481052227,9.970641553467807,so2
1996,treated,11.213955222253018,2.3779050101053523,-3.017301302531983,8.07324992010965,so2
1996,counterfactual,11.190454490303386,2.3779050101053523,-3.017301302531983,8.07324992010965,so2
1997,treated,11.116872084772549,-1.4865010729009698,-7.143072035482756,4.514651556941551,so2
1997,counterfactual,11.13184868702723,-1.4865010729009698,-7.143072035482756,4.514651556941551,so2
1998,treated,11.081547019330749,3.9752766162753694,-1.2977668313738366,9.530025819794275,so2
1998,counterfactual,11.042564059282004,3.9752766162753694,-1.2977668313738366,9.530025819794275,so2
1999,treated,10.929151744342965,-1.5929845583958158,-6.150398005297831,3.1857406136979183,so2
1999,counterfactual,10.945209833675971,-1.5929845583958158,-6.150398005297831,3.1857406136979183,so2
2000,treated,10.774027443009102,-3.8188733920968887,-9.68422997788464,2.427395717273617,so2
2000,counterfactual,10.81296447968017,-3.8188733920968887,-9.68422997788464,2.427395717273617,so2
2001,treated,10.734327113049766,-2.80387041080169,-8.330757772517106,3.056241958199024,so2
2001,counterfactual,10.762766407405431,-2.80387041080169,-8.330757772517106,3.056241958199024,so2
2002,treated,10.696201267223815,-0.8100214901769709,-7.023099573224345,5.818238633666062,so2
2002,counterfactual,10.704334467110716,-0.8100214901769709,-7.023099573224345,5.818238633666062,so2
2003,treated,10.665001917172535,6.731182784394929,1.270448490739673,12.486372365553233,so2
2003,counterfactual,10.599858740272406,6.731182784394929,1.270448490739673,12.486372365553233,so2
2004,treated,10.526966624765564,-1.946239833851593,-8.061177285172915,4.57540785074686,so2
2004,counterfactual,10.546620909370352,-1.946239833851593,-8.061177285172915,4.57540785074686,so2
2005,treated,10.32579415504921,-12.698290822641123,-27.70750611790228,5.427106135226745,so2
2005,counterfactual,10.46159430017768,-12.698290822641123,-27.70750611790228,5.427106135226745,so2
2006,treated,10.21082908204817,-17.921387190026717,-34.19962010772214,2.383887324640388,so2
2006,counterfactual,10.408321787219904,-17.921387190026717,-34.19962010772214,2.383887324640388,so2
2007,treated,10.149309379536462,-11.34019313604363,-30.395969038214343,12.932559286252964,so2
2007,counterfactual,10.269672914599862,-11.34019313604363,-30.395969038214343,12.932559286252964,so2
2008,treated,9.83491006546982,-32.12236436244725,-49.15120184956614,-9.39071153434805,so2
2008,counterfactual,10.222373643201866,-32.12236436244725,-49.15120184956614,-9.39071153434805,so2
2009,treated,9.667708480886848,-37.434129224843396,-55.54351504497792,-11.947870151812545,so2
2009,counterfactual,10.136658732726913,-37.434129224843396,-55.54351504497792,-11.947870151812545,so2
2010,treated,9.58636168221692,-42.48616253771287,-59.2143855724937,-18.896857481015783,so2
2010,counterfactual,10.1395062978356,-42.48616253771287,-59.2143855724937,-18.896857481015783,so2
2011,treated,9.487823526259081,-42.51656205590775,-60.47602479288899,-16.396424687621003,so2
2011,counterfactual,10.04149684168905,-42.51656205590775,-60.47602479288899,-16.396424687621003,so2
2012,treated,9.460987288077494,-46.045143568666425,-65.31998067378481,-16.057528539920696,so2
2012,counterfactual,10.07800976914985,-46.045143568666425,-65.31998067378481,-16.057528539920696,so2
2013,treated,9.34223613821035,-51.57737990532964,-69.76173331964549,-22.457521734996412,so2
2013,counterfactual,10.067439262325376,-51.57737990532964,-69.76173331964549,-22.457521734996412,so2
2014,treated,9.19925205176772,-52.90448166061981,-70.38990190970851,-25.093532588393387,so2
2014,counterfactual,9.952244393290826,-52.90448166061981,-70.38990190970851,-25.093532588393387,so2
2015,treated,9.082423994223818,-56.46519146225095,-76.0510841672659,-20.861571870074346,so2
2015,counterfactual,9.914033365833523,-56.46519146225095,-76.0510841672659,-20.861571870074346,so2
2016,treated,8.816922819702187,-67.536063743697,-84.41531528963678,-32.375458545369426,so2
2016,counterfactual,9.941963186128246,-67.536063743697,-84.41531528963678,-32.375458545369426,so2
2017,treated,8.779842972857331,-69.97911229887941,-85.97965067781351,-35.718170949057196,so2
2017,counterfactual,9.983119762753496,-69.97911229887941,-85.97965067781351,-35.718170949057196,so2
2018,treated,8.521715783379017,-74.23639233319429,-87.73916034800045,-45.86313018938787,so2
2018,counterfactual,9.877923028759685,-74.23639233319429,-87.73916034800045,-45.86313018938787,so2
2019,treated,8.289879503434594,-78.65474986767445,-89.73552125981146,-55.61199796462579,so2
2019,counterfactual,9.834220450737241,-78.65474986767445,-89.73552125981146,-55.61199796462579,so2
2020,treated,8.100398670785417,-75.13877159219334,-86.86704671614737,-52.936657537259116,so2
