time,type,outcome,att,att_low,att_high,pollutant
1990,treated,9.482099766216052,-0.9616400358940624,-12.408144408617417,11.980693617647331,pm25
1990,counterfactual,9.491762702733459,-0.9616400358940624,-12.408144408617417,11.980693617647331,pm25
1991,treated,9.467277450236546,1.1841757064199543,-8.786999246801097,12.245374330902091,pm25
1991,counterfactual,9.455505258135146,1.1841757064199543,-8.786999246801097,12.245374330902091,pm25
1992,treated,9.394487901020446,-4.571453648958057,-11.421029648940895,2.8077818310751734,pm25
1992,counterfactual,9.44128032531572,-4.571453648958057,-11.421029648940895,2.8077818310751734,pm25
1993,treated,9.368172016127195,-1.836251309451431,-6.9763234740960245,3.5878382456517866,pm25
1993,counterfactual,9.38670521284782,-1.836251309451431,-6.9763234740960245,3.5878382456517866,pm25
1994,treated,9.320109587436495,2.110237857549202,-2.1016355729483682,6.503318378669332,pm25
1994,counterfactual,9.299226780435218,2.110237857549202,-2.1016355729483682,6.503318378669332,pm25
1995,treated,8.984801566528482,4.069542053118935,-0.7249946343848568,9.095633319372531,pm25
1995,counterfactual,8.944912403250093,4.069542053118935,-0.7249946343848568,9.095633319372531,pm25
1996,treated,8.968675921133848,4.384935950514368,-0.8800538977165595,9.929588159269297,pm25
1996,counterfactual,8.925760733746184,4.384935950514368,-0.8800538977165595,9.929588159269297,pm25
1997,treated,8.903140634471649,5.763433770045712,-0.20937234909605973,12.093732509252542,pm25
1997,counterfactual,8.847105977314914,5.763433770045712,-0.20937234909605973,12.093732509252542,pm25
1998,treated,8.770258611685707,-1.5859287322662619,-6.512721912870523,3.600507167017075,pm25
1998,counterfactual,8.786245003150862,-1.5859287322662619,-6.512721912870523,3.600507167017075,pm25
1999,treated,8.6973920226057,-3.476845236111703,-8.241384461892999,1.5350912929187999,pm25
1999,counterfactual,8.732779283291451,-3.476845236111703,-8.241384461892999,1.5350912929187999,pm25
2000,treated,8.630092218444581,-6.084778337680985,-10.463633494660296,-1.4917713982004144,pm25
2000,counterfactual,8.692869926326035,-6.084778337680985,-10.463633494660296,-1.4917713982004144,pm25
2001,treated,8.63743989068744,-2.6718677124837,-7.605942755089656,2.5256993473797618,pm25
2001,counterfactual,8.664521999905311,-2.6718677124837,-7.605942755089656,2.5256993473797618,pm25
2002,treated,8.592137058392764,1.2456705239787924,-4.483998638921882,7.3190423989746956,pm25
2002,counterfactual,8.57975729956545,1.2456705239787924,-4.483998638921882,7.3190423989746956,pm25
2003,treated,8.58268137517397,0.015465215314036662,-4.176513789850156,4.390830242785948,pm25
2003,counterfactual,8.58252673497824,0.015465215314036662,-4.176513789850156,4.390830242785948,pm25
2004,treated,8.536666714613483,2.5436221747646703,-2.9482675813948145,8.346282819214146,pm25
2004,counterfactual,8.511548610364702,2.5436221747646703,-2.9482675813948145,8.346282819214146,pm25
2005,treated,8.519079533303904,-10.731253590128754,-18.06054070514377,-2.7463794102659866,pm25
2005,counterfactual,8.632598276880278,-10.731253590128754,-18.06054070514377,-2.7463794102659866,pm25
2006,treated,8.478236078565363,-12.189362606007325,-21.542056529471765,-1.7217671218249797,pm25
2006,counterfactual,8.608223616421963,-12.189362606007325,-21.542056529471765,-1.7217671218249797,pm25
2007,treated,8.428743690058644,-12.543313615428008,-24.904313432725857,1.8523478910782876,pm25
2007,counterfactual,8.562770217990172,-12.543313615428008,-24.904313432725857,1.8523478910782876,pm25
2008,treated,8.343671641764205,-16.847791931661536,-28.878650526637074,-2.781798182416939,pm25
2008,counterfactual,8.52816906722435,-16.847791931661536,-28.878650526637074,-2.781798182416939,pm25
2009,treated,8.102659018448316,-32.34736630710654,-44.084933681252515,-18.145874682611883,pm25
2009,counterfactual,8.493442919418598,-32.34736630710654,-44.084933681252515,-18.145874682611883,pm25
2010,treated,8.143371697918994,-30.108574561890368,-45.06594880386638,-11.078625307819268,pm25
2010,counterfactual,8.50159891117447,-30.108574561890368,-45.06594880386638,-11.078625307819268,pm25
2011,treated,8.135599538323866,-26.18843097347795,-45.18106141644274,-0.6155926595926231,pm25
2011,counterfactual,8.439254243114396,-26.18843097347795,-45.18106141644274,-0.6155926595926231,pm25
2012,treated,8.010263770175166,-35.913123600949206,-54.239883777065714,-10.246562605346199,pm25
2012,counterfactual,8.455194349562246,-35.913123600949206,-54.239883777065714,-10.246562605346199,pm25
2013,treated,7.983601626984149,-36.91054023418011,-54.67105967597347,-12.191198270009728,pm25
2013,counterfactual,8.444218097539169,-36.91054023418011,-54.67105967597347,-12.191198270009728,pm25
2014,treated,7.990228484984573,-29.138058412567204,-47.68241831749215,-4.020510810047162,pm25
2014,counterfactual,8.33466517158003,-29.138058412567204,-47.68241831749215,-4.020510810047162,pm25
2015,treated,7.911234190354701,-33.13152518742009,-53.97810247496714,-2.842056407420135,pm25
2015,counterfactual,8.313676748783168,-33.13152518742009,-53.97810247496714,-2.842056407420135,pm25
2016,treated,7.870363751145131,-36.87760281174114,-56.16686329538131,-9.099888204613238,pm25
2016,counterfactual,8.330458283049033,-36.87760281174114,-56.16686329538131,-9.099888204613238,pm25
2017,treated,7.948244440482552,-29.74331932439549,-52.642024363012055,4.227452993127945,pm25
2017,counterfactual,8.301259224193254,-29.74331932439549,-52.642024363012055,4.227452993127945,pm25
2018,treated,7.87963278595786,-31.817443955163537,-54.08370833764516,1.2464373863777078,pm25
2018,counterfactual,8.262614216281587,-31.817443955163537,-54.08370833764516,1.2464373863777078,pm25
2019,treated,7.797278250861076,-34.98640649388838,-56.63947043089952,-2.5203939485556437,pm25
