"Country Name","Country Code","Unit Name","Unit Code",Time Period,"Brent Crude  (POILBRE)","Coal index  (PCOAL)","Coal, Australia (PCOALAU)","Coal, South Africa  (PCOALSA)","Dubai Crude  (POILDUB)","Natural gas, EU (PNGASEU)","Rare Earth Elements (PREODOM)","WTI Crude  (POILWTI)",
"World","001","Index","IX",1990,"52.588952438888","53.8169389187069","56.6005197471938","51.0333580902199","49.3559163815884","46.7457851626059",,"56.6796657246531",
"World","001","Index","IX",1991,"44.5336774159625","52.7497013921053","56.6005197471938","48.8988830370168","40.0027813776237","69.0849950692069",,"49.6968939770475",
"World","001","Index","IX",1992,"42.9428449425519","49.8921375622021","55.024980069357","44.7592950550471","41.4171093179441","54.3261864405618",,"47.5980765646916",
"World","001","Index","IX",1993,"37.8995327443549","43.2791507546553","44.7096542540859","41.8486472552247","36.0851550841128","59.6860644970294",,"42.7219419727588",
"World","001","Index","IX",1994,"35.4036936372746","45.2139314009574","46.0889946512864","44.3388681506283","35.4598550357942","53.1202131780573",,"39.7015610023132",
"World","001","Index","IX",1995,"38.1523967935433","55.4337106071452","56.1795831087378","54.6878381055525","38.8918483180667","61.9321062549839",,"42.583087756089",
"World","001","Index","IX",1996,"46.1600629723458","53.1794577105433","54.3281753514609","52.0307400696257","44.6730703891341","63.1699834690222",,"51.2271095964549",
"World","001","Index","IX",1997,"42.8365557622524","49.373936981104","50.0831363704214","48.6647375917866","43.7759575427699","61.3408192538355",,"47.6174538681735",
"World","001","Index","IX",1998,"29.1182079175941","41.6866241537276","41.7095888901747","41.6636594172804","29.4505574844124","51.5696782126239",,"33.2262529749641",
"World","001","Index","IX",1999,"40.1698987427926","37.3127593464827","36.9449190870864","37.680599605879","41.4539982707565","41.507146503318",,"44.4899479493484",
"World","001","Index","IX",2000,"63.9881678283522","39.3510230293202","37.45622630329","41.2458197553503","63.2509415542029","79.3389484430833",,"70.1568320854121",
