country,year,fuel_price
Austria,1990,77.84379450078742
Austria,1991,82.15498195050094
Austria,1992,73.5473489363718
Austria,1993,70.58727429795434
Austria,1994,66.11662368138018
Austria,1995,75.3421498196405
Austria,1996,81.36886846677945
Austria,1997,77.44202113641967
Austria,1998,59.50513417293219
Austria,1999,62.73645230496762
Austria,2000,100.63935818297614
Austria,2001,100.37685012704708
Austria,2002,85.50577014905578
Austria,2003,102.81887711316924
Austria,2004,131.67648474163195
Austria,2005,182.3615795136122
Austria,2006,229.36928187757647
Austria,2007,246.23165953232427
Austria,2008,371.93703152558896
Austria,2009,237.92564784175192
Austria,2010,273.0434686451078
Austria,2011,354.53128348600217
Austria,2012,362.9018073915413
Austria,2013,348.08420353524207
Austria,2014,321.4594206389355
Austria,2015,197.2635734091077
Austria,2016,152.43570964283657
Austria,2017,193.77978799854668
Austria,2018,252.7214940998816
Austria,2019,190.4123840872956
Austria,2020,135.23519824741177
Austria,2021,354.19488224893973
Belgium,1990,76.2918843114009
Belgium,1991,80.01086807187357
Belgium,1992,71.88551646114219
Belgium,1993,68.62853929448681
Belgium,1994,64.56948543002409
Belgium,1995,73.7613634418878
Belgium,1996,79.36698188578403
Belgium,1997,75.45290752490148
Belgium,1998,58.108619976359336
Belgium,1999,61.10153058490748
Belgium,2000,96.7495690127326
Belgium,2001,96.87878960694763
Belgium,2002,82.61019227060001
Belgium,2003,99.01568650361466
Belgium,2004,128.49798615089793
Belgium,2005,175.46733653119884
Belgium,2006,219.71817781218465
Belgium,2007,236.9412622541271
Belgium,2008,359.9143522618069
Belgium,2009,229.1100017832003
Belgium,2010,264.94909905186165
Belgium,2011,343.69206299046925
Belgium,2012,349.18431061808974
Belgium,2013,334.4043834136062
Belgium,2014,308.41617417305565
Belgium,2015,190.08872539744587
Belgium,2016,148.9731765336022
Belgium,2017,189.6058553590183
Belgium,2018,246.2771658313661
Belgium,2019,185.85247824862813
Belgium,2020,132.70247196030022
Belgium,2021,342.48242888242436
Cyprus,1990,98.30478177947302
Cyprus,1991,83.44863197645488
Cyprus,1992,81.92796375736313
Cyprus,1993,72.43210255815323
Cyprus,1994,68.68827404599784
Cyprus,1995,74.52887408332668
Cyprus,1996,88.18860055921733
Cyprus,1997,83.21627866915213
Cyprus,1998,57.17701717127406
Cyprus,1999,77.90992631204332
Cyprus,2000,121.43155759483444
Cyprus,2001,104.91994115385064
Cyprus,2002,106.78083884096068
Cyprus,2003,123.40660382161188
Cyprus,2004,162.19246217092956
Cyprus,2005,228.177224134038
Cyprus,2006,274.3199294397584
Cyprus,2007,303.6503072266163
Cyprus,2008,414.52103612719446
Cyprus,2009,262.90843626981416
Cyprus,2010,338.65796646626285
Cyprus,2011,445.0636897305461
Cyprus,2012,448.2632556693565
Cyprus,2013,443.80004790425966
Cyprus,2014,410.18427217138185
Cyprus,2015,217.71077469925865
Cyprus,2016,185.72853886606035
Cyprus,2017,227.77081819109745
Cyprus,2018,294.17754320930055
Cyprus,2019,262.8976948840833
Cyprus,2020,179.27180712234158
Cyprus,2021,298.5185523548214
Czechia,1990,88.163896950578
Czechia,1991,92.0858977614979
Czechia,1992,83.85887986199566
Czechia,1993,77.27770822901238
Czechia,1994,76.13364423214404
Czechia,1995,90.4166887565783
Czechia,1996,91.2384379829212
Czechia,1997,85.8828622285919
Czechia,1998,69.85580968367951
Czechia,1999,66.09951467024707
Czechia,2000,89.45680373813838
Czechia,2001,99.3925878216259
Czechia,2002,80.62073548606756
Czechia,2003,93.96902192604678
Czechia,2004,142.65699513205186
Czechia,2005,161.804084569814
Czechia,2006,193.67330322729143
Czechia,2007,220.06385289480716
Czechia,2008,373.6422521786127
Czechia,2009,224.03311132257295
Czechia,2010,274.17972910535946
Czechia,2011,349.82399772374475
Czechia,2012,323.7647905418695
Czechia,2013,299.121457465886
Czechia,2014,270.43742321892336
Czechia,2015,187.69324116988517
Czechia,2016,168.77944809439344
Czechia,2017,220.22523761107817
Czechia,2018,274.13863142619226
Czechia,2019,198.29395473384497
Czechia,2020,152.89211128458004
Czechia,2021,381.0101299389749
Denmark,1990,90.96362426691044
Denmark,1991,92.87717397667949
Denmark,1992,84.75780085595255
Denmark,1993,79.04291182285502
Denmark,1994,75.88585378928201
Denmark,1995,87.67630176929647
Denmark,1996,92.73498245629936
Denmark,1997,87.7237446956378
Denmark,1998,68.3035333225086
Denmark,1999,70.84070267234335
Denmark,2000,105.4900741624292
Denmark,2001,107.78974622721776
Denmark,2002,92.2423048013836
Denmark,2003,108.88135756080092
Denmark,2004,150.32792268177633
Denmark,2005,192.08900324178336
Denmark,2006,235.37217536779983
Denmark,2007,259.5162343091347
Denmark,2008,405.2831706293971
Denmark,2009,252.0161208032084
Denmark,2010,302.00331262435
Denmark,2011,389.97327724063734
Denmark,2012,382.3138520115251
Denmark,2013,363.2366540229313
Denmark,2014,332.8068682584163
Denmark,2015,209.81346729725735
Denmark,2016,175.4421842460293
Denmark,2017,224.55343625434193
Denmark,2018,286.4189643265712
Denmark,2019,217.42030366297465
Denmark,2020,159.02233785515116
Denmark,2021,384.923912598529
Estonia,1995,30.587294580604244
Estonia,1996,33.498015961646885
Estonia,1997,32.032037054634706
Estonia,1998,24.426430310937448
Estonia,1999,25.92322616178812
Estonia,2000,43.81502794252904
Estonia,2001,43.13969169515697
Estonia,2002,36.49029210910135
Estonia,2003,44.470510553822635
Estonia,2004,53.97760371695218
Estonia,2005,79.07349542373785
Estonia,2006,101.24421309727752
Estonia,2007,106.7643490720584
Estonia,2008,158.04944557737676
